㐀	0			
㐁	0			
㐂	0			
㐃	0			
㐄	0			
㐅	0			
㐆	0			
㐇	0			
㐈	0			
㐉	0			
㐊	0			
㐋	0			
㐌	0			
㐍	0			
㐎	0			
㐏	0			
㐐	0			
㐑	0			
㐒	0			
㐓	0			
㐔	0			
㐕	0			
㐖	0			
㐗	0			
㐘	0			
㐙	0			
㐚	0			
㐛	0			
㐜	0			
㐝	0			
㐞	0			
㐟	0			
㐠	0			
㐡	0			
㐢	0			
㐣	0			
㐤	0			
㐥	0			
㐦	0			
㐧	0			
㐨	0			
㐩	0			
㐪	0			
㐫	0			
㐬	0			
㐭	0			
㐮	0			
㐯	0			
㐰	0			
㐱	0			
㐲	0			
㐳	0			
㐴	0			
㐵	0			
㐶	0			
㐷	0			
㐸	0			
㐹	0			
㐺	0			
㐻	0			
㐼	0			
㐽	0			
㐾	0			
㐿	0			
㑀	0			
㑁	0			
㑂	0			
㑃	0			
㑄	0			
㑅	0			
㑆	0			
㑇	0			
㑈	0			
㑉	0			
㑊	0			
㑋	0			
㑌	0			
㑍	0			
㑎	0			
㑏	0			
㑐	0			
㑑	0			
㑒	0			
㑓	0			
㑔	0			
㑕	0			
㑖	0			
㑗	0			
㑘	0			
㑙	0			
㑚	0			
㑛	0			
㑜	0			
㑝	0			
㑞	0			
㑟	0			
㑠	0			
㑡	0			
㑢	0			
㑣	0			
㑤	0			
㑥	0			
㑦	0			
㑧	0			
㑨	0			
㑩	0			
㑪	0			
㑫	0			
㑬	0			
㑭	0			
㑮	0			
㑯	0			
㑰	0			
㑱	0			
㑲	0			
㑳	0			
㑴	0			
㑵	0			
㑶	0			
㑷	0			
㑸	0			
㑹	0			
㑺	0			
㑻	0			
㑼	0			
㑽	0			
㑾	0			
㑿	0			
㒀	0			
㒁	0			
㒂	0			
㒃	0			
㒄	0			
㒅	0			
㒆	0			
㒇	0			
㒈	0			
㒉	0			
㒊	0			
㒋	0			
㒌	0			
㒍	0			
㒎	0			
㒏	0			
㒐	0			
㒑	0			
㒒	0			
㒓	0			
㒔	0			
